Country;Year;Total CO2 (including Land-Use Change and Forestry) (MtCO2);Total CH4 (including Land-Use Change and Forestry) (MtCO2e);Total N2O (including Land-Use Change and Forestry) (MtCO2e)
Bosnia & Herzegovina;2010;20.657.756;4.180.517.829;1.808.576.408
Bosnia & Herzegovina;2011;23.412.434;4.178.987.549;2.131.280.775
Bosnia & Herzegovina;2012;2.136.175;4.218.587.269;2.035.915.141
Botswana;1990;1.115.811;6.042.020.983;5.126.172.461
Botswana;1991;113.763;5.784.167.466;4.956.609.681
Botswana;1992;122.145;563.589.395;48.489.769
Botswana;1993;1.246.269;5.504.880.434;475.808.412
Botswana;1994;1.258.088;5.741.826.917;4.938.231.339
Botswana;1995;1.297.908;6.186.683.401;5.284.668.559
Botswana;1996;1.400.045;7.170.562.146;6.392.238.867
Botswana;1997;1.541.399;7.180.410.891;6.156.539.176
Botswana;1998;1.720.672;7.055.579.635;5.705.539.484
Botswana;1999;1.608.509;655.142.838;5.528.989.793
Botswana;2000;1.564.944;6.135.037.125;5.330.880.102
Botswana;2001;1.142.761;5.957.647.431;5.596.896.818
Botswana;2002;1.876.237;7.258.237.737;5.370.633.535
Botswana;2003;1.342.303;3.996.408.043;2.585.640.252
Botswana;2004;1.196.847;3.640.308.349;2.700.786.969
Botswana;2005;1.471.252;4.339.908.656;2.866.533.685
Botswana;2006;1.229.646;5.046.723.991;4.292.266.184
Botswana;2007;1.483.646;4.694.029.326;3.185.338.683
Botswana;2008;1.329.058;6.894.924.662;6.727.651.182
Botswana;2009;1.220.203;3.983.769.997;3.150.183.681
Botswana;2010;1.320.982;7.642.995.333;8.042.606.179
Botswana;2011;1.460.054;9.217.753.578;972.638.689
Botswana;2012;1.447.727;5.089.371.823;4.328.637.601
Brazil;1990;1.236.426.076;2.508.714.299;1.150.891.835
Brazil;1991;1.236.581.636;2.582.252.513;1.187.382.669
Brazil;1992;1.241.927.654;2.622.713.027;1.212.531.603
Brazil;1993;1.251.206.486;2.628.979.542;1.235.072.437
Brazil;1994;1.262.070.994;2.675.126.756;127.368.137
Brazil;1995;1.282.654.952;271.927.407;1.294.183.004
Brazil;1996;130.740.927;2.619.843.768;1.240.144.921
Brazil;1997;1.329.887.404;2.685.528.765;1.284.997.037
Brazil;1998;1.341.879.918;2.813.600.063;1.371.096.654
Brazil;1999;1.355.115.108;2.800.254.261;1.360.196.371
Brazil;2000;1.369.762.318;2.743.695.758;1.314.098.287
Brazil;2001;1.520.941.206;2.834.618.476;1.368.451.356
Brazil;2002;1.521.330.668;2.999.963.194;1.466.545.424
Brazil;2003;151.458.372;3.122.751.511;1.551.562.193
Brazil;2004;15.341.937;3.282.940.629;1.615.329.261
Brazil;2005;1.542.059.866;3.418.611.547;166.613.923
Brazil;2006;1.135.522.552;3.292.056.948;1.609.302.258
Brazil;2007;1.154.215.244;3.446.986.049;1.793.083.086
Brazil;2008;1.178.280.722;3.262.743.251;1.648.169.714
Brazil;2009;1.158.334.332;3.269.992.352;1.679.552.742
Brazil;2010;12.118.423;3.607.903.654;192.466.617
Brazil;2011;1.234.081.278;3.405.583.377;1.847.494.181
Brazil;2012;1.270.209.522;35.165.358;1.912.310.092
Brunei;1990;612.609;855.528.886;0.076317886
Brunei;1991;553.631;8.691.437.739;0.07708567
Brunei;1992;573.159;8.826.326.619;0.079523453
Brunei;1993;601.686;8.960.395.499;0.071201237
Brunei;1994;628.213;9.096.734.378;0.07073902
Brunei;1995;66.374;9.231.483.258;0.071196804
Brunei;1996;6.959.146;9.542.666.476;0.066563731
Brunei;1997;7.349.236;9.885.629.693;0.077900657
Brunei;1998;6.896.046;1.047.247.291;0.169737584
Brunei;1999;6.405.922;1.051.713.613;0.082604511
Brunei;2000;6.647.218;1.084.383.935;0.089841437
Brunei;2001;6.456.634;1.092.515.096;0.093927907
Brunei;2002;6.529.522;1.101.709.257;0.093594376
Brunei;2003;7.402.028;1.110.806.419;0.101790846
Brunei;2004;7.069.132;111.854.358;0.104617315
Brunei;2005;6.987.634;1.128.394.742;0.105653784
Brunei;2006;9.374.552;1.122.192.025;0.104503084
Brunei;2007;8.978.458;1.117.782.309;0.110792383
Brunei;2008;9.366.672;1.113.350.593;0.109831682
Brunei;2009;95.888;1.111.231.877;0.117570981
Brunei;2010;971.134;110.568.616;0.11988028
Brunei;2011;10.408.104;1.123.376.704;0.111931428
Brunei;2012;1.042.143;1.142.722.248;0.121572575
Bulgaria;1990;68.232.284;143.328.123;8.184.008.074
Bulgaria;1991;46.675.912;1.397.272.241;7.531.436.927
Bulgaria;1992;4.417.094;1.329.050.253;577.920.578
Bulgaria;1993;45.064.582;1.229.575.265;5.086.064.633
Bulgaria;1994;4.243.289;1.162.707.276;5.043.103.486
Bulgaria;1995;43.149.428;1.141.165.288;4.271.002.339
Bulgaria;1996;43.781.754;1.122.070.698;4.201.724.972
Bulgaria;1997;4.075.403;1.079.508.108;4.167.977.605
Bulgaria;1998;38.469.748;1.060.143.518;3.826.690.238
Bulgaria;1999;3.271.134;1.052.749.928;3.564.202.871
Bulgaria;2000;3.214.129;1.030.889.338;3.593.445.504
Bulgaria;2001;32.869.616;100.051.583;3.810.840.585
Bulgaria;2002;29.824.594;9.619.643.228;4.430.335.667
Bulgaria;2003;33.974.624;9.619.168.151;4.521.040.749
Bulgaria;2004;3.336.068;9.519.953.074;428.724.583
Bulgaria;2005;34.140.088;9.268.287.997;3.845.790.912
Bulgaria;2006;36.610.748;9.106.339.038;359.337.932
Bulgaria;2007;3.991.252;9.129.790.078;3.949.977.728
Bulgaria;2008;37.808.518;8.910.871.118;4.290.596.136
Bulgaria;2009;30.096.528;8.748.512.159;4.706.604.544
Bulgaria;2010;31.660.958;8.641.453.199;4.746.722.952
Bulgaria;2011;36.390.442;856.532.357;5.401.842.241
Bulgaria;2012;3.197.156.675;8.558.663.941;505.744.153
Burkina Faso;1990;1.341.464;610.297.388;5.290.091.978
Burkina Faso;1991;12.389.414;6.263.612.409;5.494.351.216
Burkina Faso;1992;12.386.448;6.492.480.939;5.644.750.453
Burkina Faso;1993;12.376.164;6.690.339.468;579.180.969
Burkina Faso;1994;12.387.854;6.932.137.998;5.966.838.927
Burkina Faso;1995;12.362.904;7.212.576.527;6.150.428.165
Burkina Faso;1996;12.436.892;7.506.839.444;6.298.861.195
Burkina Faso;1997;1.252.919;7.810.582.361;6.607.464.225
Burkina Faso;1998;1.257.752;8.365.425.278;6.925.897.254
Burkina Faso;1999;12.640.516;8.348.348.195;7.061.170.284
Burkina Faso;2000;12.743.806;7.998.931.111;6.957.073.314
Burkina Faso;2001;11.983.368;7.792.517.384;6.714.015.261
Burkina Faso;2002;11.997.426;8.388.343.656;7.239.307.208
Burkina Faso;2003;12.077.446;9.714.189.928;8.375.089.155
Burkina Faso;2004;12.109.834;96.814.462;8.369.871.102
Burkina Faso;2005;12.138.548;1.020.056.247;8.797.063.049
Burkina Faso;2006;13.106.864;9.742.762.553;841.691.442
Burkina Faso;2007;13.385.376;9.936.562.635;855.065.579
Burkina Faso;2008;13.429.392;1.013.790.272;8.657.177.161
Burkina Faso;2009;13.389.136;104.964.828;8.861.908.531
Burkina Faso;2010;13.400.176;1.088.317.288;9.168.199.902
Burkina Faso;2011;13.642.048;1.106.050.256;9.122.975.931
Burkina Faso;2012;1.310.981;1.087.644.224;8.993.881.959
Burundi;1990;916.663;0.948188794;110.341.527
Burundi;1991;5.475.978;0.99382688;1.112.999.672
Burundi;1992;551.271;1.035.524.967;1.132.184.074
Burundi;1993;559.342;1.057.183.054;1.122.428.476
Burundi;1994;5.659.464;104.441.114;1.074.572.878
Burundi;1995;5.714.516;1.095.829.227;109.876.728
Burundi;1996;5.766.932;1.062.692.581;1.096.137.849
Burundi;1997;5.826.006;1.042.495.936;1.110.608.419
Burundi;1998;589.702;0.953699291;1.084.408.988
Burundi;1999;5.928.902;0.921602645;1.110.759.558
Burundi;2000;601.866;0.894326;1.118.360.127
Burundi;2001;4.625.778;0.8479848;1.143.902.902
Burundi;2002;4.620.152;0.7567536;1.121.695.676
Burundi;2003;4.582.136;0.7021424;1.136.928.451
Burundi;2004;4.604.126;0.6664912;1.180.211.225
Burundi;2005;4.511.258;0.605;1.215.894
Burundi;2006;4.139.854;0.638033168;1.260.184.909
Burundi;2007;4.125.388;0.666096337;1.281.405.818
Burundi;2008;4.193.442;0.735119505;1.355.766.727
Burundi;2009;4.152.378;0.786632674;1.396.387.637
Burundi;2010;4.148.396;0.867235842;1.483.188.546
Burundi;2011;4.150.908;0.937947499;1.559.167.302
Burundi;2012;426.166;0.987329156;1.622.916.059
Cambodia;1990;27.398.172;1.171.021.323;3.375.939.831
Cambodia;1991;27.110.144;1.148.514.208;3.461.138.936
Cambodia;1992;2.706.953;1.184.625.093;3.680.968.041
Cambodia;1993;2.701.426;1.253.738.977;3.800.837.146
Cambodia;1994;27.021.278;1.161.283.862;3.788.006.251
Cambodia;1995;27.948.696;1.326.701.747;3.993.355.356
Cambodia;1996;28.001.058;1.272.437.256;3.826.231.221
Cambodia;1997;2.803.014;1.355.715.766;4.055.547.087
Cambodia;1998;2.820.487;1.563.834.275;4.867.572.953
Cambodia;1999;2.810.631;1.527.555.785;4.787.148.818
Cambodia;2000;2.811.104;1.427.612.294;4.328.164.684
Cambodia;2001;3.312.244;1.278.097.342;3.661.854.663
Cambodia;2002;3.309.122;1.314.100.391;3.935.134.642
Cambodia;2003;33.17;1.408.645.439;4.031.524.621
Cambodia;2004;3.307.878;1.459.033.488;48.881.146
Cambodia;2005;3.325.756;1.521.552.536;430.668.458
Cambodia;2006;2.574.318;1.564.746.177;4.501.201.895
Cambodia;2007;26.197.228;1.650.185.818;507.554.921
Cambodia;2008;2.664.805;1.608.185.458;4.637.406.525
Cambodia;2009;26.808.738;1.631.158.099;451.642.384
Cambodia;2010;26.825.538;1.688.892.739;4.820.721.156
Cambodia;2011;27.065.618;1.776.028.276;5.265.917.873
Cambodia;2012;2.678.364;1.724.353.813;4.969.024.591
Cameroon;1990;11.381.401;9.070.256.992;6.427.706.873
Cameroon;1991;113.544.294;9.084.175.251;6.423.931.325
Cameroon;1992;113.423.496;9.147.933.509;6.426.821.777
Cameroon;1993;117.533.746;9.195.461.768;6.427.980.229
Cameroon;1994;11.813.179;9.251.130.027;6.433.619.681
Cameroon;1995;11.797.072;9.268.558.285;6.435.159.133
Cameroon;1996;117.139.264;9.416.051.053;6.432.335.089
Cameroon;1997;117.418.016;9.599.473.821;6.450.162.046
Cameroon;1998;117.579.274;1.158.753.659;6.573.348.003
Cameroon;1999;117.353.524;1.103.443.936;653.489.396
Cameroon;2000;117.564.444;1.147.712.212;6.596.059.917
Cameroon;2001;116.792.602;104.742.898;6.546.874.848
Cameroon;2002;116.699.038;1.035.575.747;6.527.428.779
Cameroon;2003;116.637.376;1.129.426.515;6.599.683.711
Cameroon;2004;11.699.794;1.047.289.282;6.519.846.642
Cameroon;2005;117.201.524;114.684.305;6.609.950.573
Cameroon;2006;116.717.854;1.114.383.387;6.569.741.237
Cameroon;2007;117.817.834;1.099.578.724;6.551.117.901
Cameroon;2008;117.879.324;1.028.120.061;6.506.875.564
Cameroon;2009;118.509.804;1.032.132.398;6.511.091.228
Cameroon;2010;117.983.784;9.642.167.355;6.458.485.892
Cameroon;2011;118.019.364;9.770.859.343;6.470.260.508
Cameroon;2012;11.670.794;983.777.133;6.456.962.125
Canada;1990;537.692.944;8.303.528.154;534.048.123
Canada;1991;455.759.602;8.508.808.295;5.426.173.417
Canada;1992;46.668.226;8.784.529.435;5.509.314.605
Canada;1993;466.080.768;8.983.945.576;5.610.835.792
Canada;1994;483.524.426;9.206.133.716;565.616.698
Canada;1995;49.475.113;9.525.919.857;5.835.589.167
Canada;1996;504.098.224;950.381.536;5.742.082.622
Canada;1997;513.816.456;9.330.787.863;5.379.327.076
Canada;1998;562.522.626;1.106.103.137;580.834.853
Canada;1999;542.888.982;1.008.259.287;5.262.416.984
Canada;2000;54.936.268;9.750.686.372;4.855.299.438
Canada;2001;7.659.523;9.703.398.465;4.775.590.832
Canada;2002;805.575.446;1.120.780.556;5.452.782.226
Canada;2003;82.586.434;1.101.245.565;5.416.555.619
Canada;2004;80.457.655;1.077.015.474;5.394.758.013
Canada;2005;813.099.922;1.079.736.184;5.498.225.406
Canada;2006;67.345.124;112.219.784;5.354.315.386
Canada;2007;696.132.364;1.086.263.397;5.478.715.366
Canada;2008;684.296.606;1.111.096.453;5.428.356.347
Canada;2009;628.460.126;104.392.221;5.043.175.327
Canada;2010;671.175.104;1.201.136.066;5.655.613.307
Canada;2011;659.419.058;1.140.320.721;5.620.870.993
Canada;2012;6.686.451.846;1.176.841.676;556.820.468
Cape Verde;1990;0.085576;0.063974065;0.056866659
Cape Verde;1991;-0.41362;0.065600683;0.063735327
Cape Verde;1992;-0.402818;0.071987301;0.084913995
Cape Verde;1993;-0.423978;0.073953918;0.085062664
Cape Verde;1994;-0.39589;0.071180536;0.068261332
Cape Verde;1995;-0.392426;0.074087154;0.09081
Cape Verde;1996;-0.387938;0.070477923;0.060181916
Cape Verde;1997;-0.363504;0.071878692;0.070983833
Cape Verde;1998;-0.352712;0.074619462;0.082325749
Cape Verde;1999;-0.355572;0.073810231;0.087377665
Cape Verde;2000;-0.320126;0.071871;0.082549582
Cape Verde;2001;0.135698;0.072959177;0.086624085
Cape Verde;2002;0.172268;0.074147354;0.085158588
Cape Verde;2003;0.179516;0.075065531;0.085773091
Cape Verde;2004;0.190438;0.079043708;0.090187594
Cape Verde;2005;0.21967;0.084561885;0.094392098
Cape Verde;2006;0.234616;0.091882979;0.100851505
Cape Verde;2007;0.296834;0.098404074;0.107050913
Cape Verde;2008;0.223032;0.106115168;0.114780321
Cape Verde;2009;0.222312;0.109526263;0.118719729
Cape Verde;2010;0.28299;0.113087357;0.123019137
Cape Verde;2011;0.414894;0.114446834;0.124402719
Cape Verde;2012;0.18542;0.116156311;0.126616301
Central African Republic;1990;14.131.986;1.376.205.054;2.387.797.246
Central African Republic;1991;14.139.254;143.423.411;2.431.727.083
Central African Republic;1992;14.150.216;1.477.529.167;2.465.004.921
Central African Republic;1993;14.157.504;1.520.427.223;2.498.506.758
Central African Republic;1994;14.168.456;156.727.328;2.533.878.596
Central African Republic;1995;14.168.416;1.615.466.336;2.570.719.433
Central African Republic;1996;14.168.406;1.631.624.799;2.621.062.343
Central African Republic;1997;14.179.318;1.819.462.262;2.753.057.252
Central African Republic;1998;14.182.952;2.085.611.724;2.985.126.162
Central African Republic;1999;14.197.568;1.889.730.187;2.856.895.071
Central African Republic;2000;14.201.412;188.677.765;3.008.419.981
Central African Republic;2001;13.442.718;1.475.826.291;2.824.108.888
Central African Republic;2002;13.444.098;1.381.874.933;2.750.479.796
Central African Republic;2003;13.434.496;1.647.211.574;3.144.099.703
Central African Republic;2004;13.417.522;1.444.167.216;295.045.961
Central African Republic;2005;13.415.382;1.560.171.857;3.131.402.518
Central African Republic;2006;14.161.268;1.525.738.707;3.143.746.684
Central African Republic;2007;14.167.856;1.571.757.556;3.217.184.851
Central African Republic;2008;14.169.536;1.630.563.406;3.334.515.017
Central African Republic;2009;14.168.306;1.420.813.255;3.085.817.184
Central African Republic;2010;14.197.078;1.528.475.105;325.827.035
Central African Republic;2011;14.219.032;1.599.271.278;3.358.327.016
Central African Republic;2012;1.436.826;1.443.206.451;3.169.366.682
Chad;1990;1.674.591;9.323.246.853;7.800.744.759
Chad;1991;16.597.806;946.720.021;7.891.232.242
Chad;1992;16.609.856;9.585.363.567;7.974.829.725
Chad;1993;16.614.588;9.708.496.923;8.018.407.208
Chad;1994;16.611.982;980.878.028;8.092.284.691
Chad;1995;16.605.712;1.001.690.364;8.224.792.174
Chad;1996;16.603.106;10.335.631;8.383.582.809
Chad;1997;16.604.174;1.139.619.836;8.732.543.444
Chad;1998;16.597.904;1.368.550.573;9.666.264.079
Chad;1999;16.598.962;1.412.865.309;1.014.421.471
Chad;2000;16.647.652;1.332.997.045;1.034.526.535
Chad;2001;16.310.098;1.214.885.695;8.718.097.982
Chad;2002;16.304.154;1.432.285.345;9.564.580.614
Chad;2003;16.514.386;1.588.911.995;9.879.353.247
Chad;2004;16.508.442;1.712.082.644;9.568.235.879
Chad;2005;16.528.146;1.894.112.294;1.004.138.851
Chad;2006;15.037.974;1.864.991.332;9.679.936.121
Chad;2007;15.110.654;189.685.437;1.002.737.373
Chad;2008;15.176.006;1.864.695.408;9.705.821.339
Chad;2009;15.175.406;1.780.950.446;8.783.118.948
Chad;2010;15.218.774;1.796.624.484;9.033.816.558
Chad;2011;15.258.478;1.878.692.925;9.769.989.312
Chad;2012;1.500.186;1.875.663.366;9.487.882.066
Chile;1990;37.151.092;1.107.447.784;5.033.204.462
Chile;1991;18.372.384;1.111.481.397;5.062.747.535
Chile;1992;206.232;112.345.901;5.285.260.608
Chile;1993;21.320.924;1.139.655.623;5.547.143.681
Chile;1994;25.081.638;1.158.141.236;5.854.046.754
Chile;1995;2.780.464;1.166.425.849;6.097.149.828
Chile;1996;34.288.556;1.162.105.617;6.209.200.522
Chile;1997;41.246.012;1.180.740.385;6.312.031.217
Chile;1998;42.788.966;1.170.998.152;6.224.571.911
Chile;1999;45.800.012;115.699.292;6.347.712.606
Chile;2000;41.424.456;1.133.449.688;63.251.033
Chile;2001;44.857.342;1.138.741.989;6.364.759.832
Chile;2002;45.868.954;115.507.729;6.545.206.364
Chile;2003;47.848.732;1.168.406.592;6.366.062.896
Chile;2004;52.685.848;1.192.837.893;6.997.139.428
Chile;2005;53.244.116;1.213.944.194;675.839.596
Chile;2006;54.600.036;1.190.259.003;6.888.390.223
Chile;2007;60.561.536;1.186.665.811;7.274.244.485
Chile;2008;63.058.986;119.008.262;7.775.988.748
Chile;2009;59.943.658;1.208.734.429;756.942.301
Chile;2010;64.422.774;1.202.201.237;7.569.417.273
Chile;2011;70.966.436;1.207.239.302;7.692.878.215
Chile;2012;7.271.353.573;1.223.113.366;7.749.459.157
China;1990;224.581.879;6.673.672.462;2.999.236.782
China;1991;217.134.647;6.759.705.447;3.049.745.442
China;1992;2.304.692.102;6.835.754.033;3.104.061.302
China;1993;2.530.736.608;6.865.570.218;2.990.100.362
China;1994;266.865.809;7.001.690.404;3.122.680.122
China;1995;2.939.907.716;7.177.565.789;3.497.137.482
China;1996;3.013.788.968;7.171.332.776;366.469.129
China;1997;299.351.153;7.091.224.063;3.540.320.598
China;1998;3.079.325.974;703.933.705;3.531.779.206
China;1999;2.995.969.172;6.995.112.836;3.658.926.614
China;2000;3.275.390.288;6.910.923.123;3.555.676.822
China;2001;3.356.830.784;7.182.311.801;3.627.214.912
China;2002;359.716.573;7.425.906.879;4.106.308.001
China;2003;4.236.614.692;7.701.977.557;4.113.596.691
China;2004;494.987.058;8.103.159.435;408.537.798
China;2005;5.564.233.456;8.453.342.712;426.816.627
China;2006;6.236.256.394;8.612.852.956;4.534.721.716
China;2007;6.701.495.966;8.723.273.699;4.672.802.062
China;2008;689.503.012;8.843.713.442;5.285.971.108
China;2009;7.319.724.326;8.967.204.885;5.731.146.154
China;2010;786.725.372;9.099.363.728;5.424.331
China;2011;8.708.667.816;9.079.868.743;5.196.034.999
China;2012;9.020.821.619;9.143.275.258;5.668.227.898
Colombia;1990;9.959.625;4.864.563.578;1.901.397.389
Colombia;1991;96.472.898;486.601.685;1.899.639.168
Colombia;1992;99.341.154;4.951.224.121;1.896.519.946
Colombia;1993;104.944.092;5.042.529.393;1.929.369.724
Colombia;1994;106.073.732;5.136.127.665;1.958.193.502
Colombia;1995;108.818.636;5.172.342.937;195.585.328
Colombia;1996;109.468.644;5.267.389.517;1.968.292.356
Colombia;1997;113.244.466;5.258.336.097;1.977.544.431
Colombia;1998;11.476.837;5.308.327.677;2.009.460.507
Colombia;1999;107.301.194;5.168.331.257;1.932.579.582
Colombia;2000;109.845.194;5.246.668.836;1.992.498.657
Colombia;2001;108.924.776;5.316.748.623;1.988.966.701
Colombia;2002;106.680.722;5.370.747.409;2.011.622.744
Colombia;2003;106.357.702;5.523.594.196;2.075.480.787
Colombia;2004;106.808.006;5.585.858.982;205.189.183
Colombia;2005;109.180.096;5.688.869.769;2.142.642.873
Colombia;2006;10.906.999;5.739.776.081;2.201.076.548
Colombia;2007;10.986.247;5.875.560.394;2.305.110.224
Colombia;2008;110.579.418;5.941.294.707;2.224.331.899
Colombia;2009;111.793.014;6.039.162.019;2.267.087.574
Colombia;2010;11.294.634;6.168.291.332;2.313.456.249
Colombia;2011;119.749.174;5.897.140.157;2.204.412.424
Colombia;2012;1.193.249.707;5.745.168.982;2.145.535.599
Comoros;1990;0.259554;0.129484247;0.042054807
Comoros;1991;0.246794;0.130269859;0.042248367
Comoros;1992;0.248974;0.133375472;0.042441926
Comoros;1993;0.251154;0.139891084;0.043135486
Comoros;1994;0.253334;0.136256697;0.043649046
Comoros;1995;0.259188;0.140602309;0.044452605
Comoros;1996;0.246722;0.14846121;0.045440936
Comoros;1997;0.248922;0.148730111;0.046139268
Comoros;1998;0.25845;0.164969012;0.049537599
Comoros;1999;0.267978;0.156867913;0.05273593
Comoros;2000;0.273842;0.152166813;0.046904261
Comoros;2001;0.412366;0.152626729;0.047596547
Comoros;2002;0.41515;0.163506644;0.048188834
Comoros;2003;0.421598;0.16225656;0.04492112
Comoros;2004;0.424382;0.163356475;0.045193406
Comoros;2005;0.43083;0.149766391;0.047905692
Comoros;2006;0.423462;0.156774772;0.046781018
Comoros;2007;0.404188;0.139913153;0.046896344
Comoros;2008;0.392242;0.162681534;0.04979167
Comoros;2009;0.376212;0.160759915;0.047626996
Comoros;2010;0.371164;0.170208296;0.048432322
Comoros;2011;0.380782;0.182304081;0.049160307
Comoros;2012;0.36455;0.188319867;0.049158292
Dem. Rep. Congo;1990;148.985.942;34.218.077;1.865.618.935
Dem. Rep. Congo;1991;147.500.906;3.431.284.541;1.856.650.941
Dem. Rep. Congo;1992;147.243.946;3.457.214.383;1.859.861.948
Dem. Rep. Congo;1993;14.718.896;3.469.780.225;1.856.310.955
Dem. Rep. Congo;1994;147.039.632;3.485.131.067;1.855.010.961
Dem. Rep. Congo;1995;147.002.288;3.496.994.908;1.846.400.968
Dem. Rep. Congo;1996;147.018.762;3.530.803.026;1.839.848.665
Dem. Rep. Congo;1997;146.922.438;3.939.694.143;1.998.863.363
Dem. Rep. Congo;1998;147.078.032;4.028.655.261;207.398.106
